_id,Czas_Rejestracji,Liczba_Wolnych_Miejsc,Liczba_Poj_Wjezdzajacych,Liczba_Poj_Wyjezdzajacych,Nazwa
354,2018-11-29 07:20:01.967000,117,2,0,ul. św. Antoniego
355,2018-11-29 07:22:03,590,0,1,Narodowe Forum Muzyki
356,2018-11-29 07:25:00.013000,265,4,4,Nowy Targ
357,2018-11-29 07:25:01.470000,789,0,0,Parking Hala Stulecia
358,2018-11-29 07:25:01.757000,117,0,0,ul. św. Antoniego
359,2018-11-29 07:27:03,591,0,1,Narodowe Forum Muzyki
360,2018-11-29 07:30:00.010000,265,0,0,Nowy Targ
361,2018-11-29 07:30:01.407000,123,1,1,ul. św. Antoniego
362,2018-11-29 07:30:01.967000,788,1,0,Parking Hala Stulecia
363,2018-11-29 07:32:03,591,0,0,Narodowe Forum Muzyki
364,2018-11-29 07:35:00.010000,263,4,4,Nowy Targ
365,2018-11-29 07:35:01.843000,788,0,0,Parking Hala Stulecia
366,2018-11-29 07:35:01.970000,123,0,0,ul. św. Antoniego
367,2018-11-29 07:37:03,591,0,0,Narodowe Forum Muzyki
368,2018-11-29 07:40:00.013000,261,3,3,Nowy Targ
369,2018-11-29 07:40:01.360000,788,0,0,Parking Hala Stulecia
370,2018-11-29 07:40:01.430000,123,0,0,ul. św. Antoniego
371,2018-11-29 07:42:03,591,0,0,Narodowe Forum Muzyki
372,2018-11-29 07:45:00.013000,259,6,6,Nowy Targ
373,2018-11-29 07:45:01.967000,123,0,0,ul. św. Antoniego
825,2018-11-29 17:15:00.010000,225,2,2,Nowy Targ
374,2018-11-29 07:45:01.973000,788,0,0,Parking Hala Stulecia
375,2018-11-29 07:47:03,591,0,0,Narodowe Forum Muzyki
376,2018-11-29 07:50:00.013000,253,8,8,Nowy Targ
377,2018-11-29 07:50:01.273000,788,0,0,Parking Hala Stulecia
378,2018-11-29 07:50:01.507000,123,0,0,ul. św. Antoniego
379,2018-11-29 07:52:03,588,3,0,Narodowe Forum Muzyki
380,2018-11-29 07:55:00.007000,250,4,4,Nowy Targ
381,2018-11-29 07:55:01.190000,120,2,0,ul. św. Antoniego
382,2018-11-29 07:55:01.837000,787,1,0,Parking Hala Stulecia
383,2018-11-29 07:57:03,589,0,1,Narodowe Forum Muzyki
384,2018-11-29 08:00:00.017000,247,2,2,Nowy Targ
385,2018-11-29 08:00:01.540000,786,1,0,Parking Hala Stulecia
386,2018-11-29 08:00:01.910000,116,4,1,ul. św. Antoniego
387,2018-11-29 08:02:03,587,2,0,Narodowe Forum Muzyki
388,2018-11-29 08:05:00.017000,240,7,7,Nowy Targ
389,2018-11-29 08:05:01.273000,787,0,1,Parking Hala Stulecia
